period,num_trips,passenger_count,total_amount,trip_distance
2023-04-09,69,100,1693.5499999999997,179.48
2023-04-02,546619,707576,15487225.760003516,2120015.030000015
2023-03-26,734288,969859,20675428.19001267,2935649.9999999483
2023-03-19,787016,1044648,22096056.77001545,3079735.470000077
2023-03-12,774813,1019293,21192570.67001283,2739557.759999966
2023-03-05,560895,739953,15181854.490003066,2412606.420000072
2023-02-26,55,54,910.8999999999999,0.01
2014-11-23,1,2,52.38,6.43
2009-01-04,2,2,65.95,14.33
2003-01-05,5,7,326.7,62.67
2001-01-07,3,5,171.7,34.22
